id,symbol,created_at,exchanges,category,logoUrl,volatility_index,hurst_4h,hurst_8h,hurst_12h,hurst_1d,efficiency_index,trend_harmony_index,btc_correlation,returns_skewness,avg_wick_ratio,relative_strength_vs_btc,max_drawdown_percent,entropy,kurtosis,autocorrelation,entropy_4h,entropy_8h,entropy_12h,entropy_1d
115,MORPHO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,morpho.png,8.7568,0.6762,0.6997,0.6971,0.7362,0.0027,0.0889,0.0921,0.6633,11.0621,0.7,-39.31,,0.5601,0.0165,2.2285976,2.5511215,2.6150577,2.89143
116,TAO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,tao.png,5.5611,0.5943,0.6111,0.5903,0.5542,0.0487,0.0889,0.0321,0.2412,4.034,0.6077,-34.13,,0.5074,-0.0969,2.4458873,2.4139662,2.637461,2.7889702
117,NEAR/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,near.png,6.6131,0.5132,0.5216,0.4878,0.4317,0.0456,0.1111,0.0855,-0.038,3.3812,0.7948,-22.8,,0.3163,-0.0188,2.5139394,2.604484,2.6276844,2.8699887
118,NEIRO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],5,neiro.png,9.3625,0.6913,0.7239,0.7369,0.7415,0.1392,0.0444,-0.0147,-0.3288,6.9622,0.3865,-53.31,,0.0174,-0.1695,2.4811096,2.5933747,2.3305352,2.8750496
119,IO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,io.png,8.4266,0.566,0.5718,0.5698,0.5786,0.135,0.0667,0.0639,0.188,6.0902,0.4527,-40.77,,0.8149,-0.0685,2.299027,2.4671702,2.531521,2.7680376
120,BABY/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,baby.png,9.6135,0.6904,0.6909,0.6941,0.7021,0.0179,0.0667,0.1261,0.3862,3.9593,0.635,-35.11,,0.6496,-0.3317,1.7215105,2.2156024,2.4012995,2.793008
121,GMX/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,gmx.png,8.0449,0.4931,0.4941,0.4857,0.4481,0.0216,0.0889,-0.0717,3.0057,9.3661,0.7456,-29.97,,19.3002,-0.1861,1.529572,1.4791777,1.6948317,1.8589844
122,CHZ/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,chz.png,5.4068,0.5019,0.5036,0.4772,0.4479,0.0114,0.0444,0.0459,-0.3064,3.9523,0.712,-20.0,,0.4849,-0.0795,2.3977773,2.659346,2.5395133,2.744119
123,COW/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,cow.png,8.8536,0.4842,0.5074,0.4599,0.3874,0.0656,0.0667,-0.0145,0.1387,7.4309,0.5304,-43.17,,2.5567,-0.1149,1.2746682,1.5123914,1.8126504,2.410844
124,BCH/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,bch.png,3.7129,0.6265,0.6611,0.6828,0.7487,0.0579,0.0222,0.1367,0.5185,5.1501,0.7859,-14.3,,0.2807,-0.1354,2.1417491,2.758202,2.708268,2.9152637
125,XRP/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,xrp.png,4.3277,0.5924,0.6564,0.6009,0.6461,0.0073,0.0444,-0.0866,0.7072,10.0862,0.7038,-22.83,,3.3908,-0.0753,2.1823523,2.4414985,2.3214324,2.4484637
126,LEVER/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],5,lever.png,2.7324,0.7924,0.8294,0.9199,1.0158,0.165,0.1222,0.1355,3.1047,inf,0.3812,-50.2,,26.1557,-0.0394,0.38227326,1.1418438,0.97722006,1.5028994
127,JTO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,jto.png,6.9014,0.4018,0.39,0.3761,0.3134,0.0634,0.0444,0.1655,0.1105,7.8702,0.5683,-31.13,,0.0494,0.0112,2.0217118,1.985062,2.3142712,2.9498048
128,SAND/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,sand.png,5.7002,0.4906,0.4885,0.4603,0.4051,0.0294,0.0222,0.0099,-0.2098,3.4347,0.6342,-25.68,,0.226,-0.0811,2.1244762,2.3417733,2.3751457,2.8306792
129,MANA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,mana.png,6.3755,0.5292,,0.4805,0.414,0.0126,0.0222,-0.0111,-0.0118,6.459,0.7172,-25.07,,0.4724,-0.0823,2.4975517,,2.498802,2.8813376
130,1000PEPE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,1000pepe.png,6.6331,0.5873,0.5921,0.5845,0.5578,0.0917,0.0,0.0825,-0.1054,4.3033,0.5184,-36.02,,-0.0086,0.0109,2.2503793,2.514304,2.4335685,2.9197252
131,CHILLGUY/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,chillguy.png,10.1222,0.7867,0.845,0.8494,0.842,0.0999,0.0444,0.0831,-0.0874,3.4,0.4233,-57.75,,-0.4857,-0.174,2.324834,2.6618037,2.783102,2.983461
